"","SYMBOL","GENENAME","ENTREZID","logFC","logCPM","F","PValue","FDR","direction"
"ENSMUSG00000024913","Lrp5","low density lipoprotein receptor-related protein 5",16973,1.96161870986653,6.36947838094966,108.98925249868,3.35358843106472e-11,5.33991885878435e-07,"up"
"ENSMUSG00000070047","Fat1","FAT atypical cadherin 1",14107,2.37866748604829,6.09175127338604,62.8824336706712,1.1584914136467e-08,6.00497896014596e-05,"up"
"ENSMUSG00000036570","Fxyd1","FXYD domain-containing ion transport regulator 1",56188,-3.40212091192267,8.10768659450633,62.5460363805404,1.22151579541847e-08,6.00497896014596e-05,"down"
"ENSMUSG00000009281","Rarres2","retinoic acid receptor responder (tazarotene induced) 2",71660,-2.74047564304804,9.17945802153938,61.2184991487314,1.50850441754593e-08,6.00497896014596e-05,"down"
"ENSMUSG00000102697","Pcdhac2","protocadherin alpha subfamily C, 2",353237,5.94236456707075,2.4787240824745,57.8066930357573,2.63394930520573e-08,6.99083104750261e-05,"up"
"ENSMUSG00000085148","Mir22hg","Mir22 host gene (non-protein coding)",100042498,-1.95456689594523,5.65542799573918,57.8060332971118,2.63423891760445e-08,6.99083104750261e-05,"down"
"ENSMUSG00000078919","Dpm1","dolichol-phosphate (beta-D) mannosyltransferase 1",13480,-2.05875722088457,2.72933064788801,55.6501866393496,3.79072612976328e-08,8.03416772043821e-05,"down"
"ENSMUSG00000033542","Arhgef5","Rho guanine nucleotide exchange factor (GEF) 5",54324,1.47030328065591,6.15589937396637,55.2837026224314,4.03650956248858e-08,8.03416772043821e-05,"up"
"ENSMUSG00000032085","Tagln","transgelin",21345,-5.08329757834999,5.1181177863134,53.288615079438,5.7110770281577e-08,0.000101041643910394,"down"
"ENSMUSG00000035783","Acta2","actin, alpha 2, smooth muscle, aorta",11475,-6.50431012347726,4.95567298993875,50.967023694944,8.64824171207405e-08,0.000132512839822429,"down"
"ENSMUSG00000057230","Aak1","AP2 associated kinase 1",269774,1.1601675352204,5.02141786120694,50.6541741903903,9.15431286847151e-08,0.000132512839822429,"up"
"ENSMUSG00000028364","Tnc","tenascin C",21923,-6.59643741140832,3.28212833531912,49.9595359782475,1.03950224890415e-07,0.00013793328591084,"down"
"ENSMUSG00000110996","Gm36251","predicted gene, 36251",102640100,-4.71802214525763,2.21338190228115,45.9093740443801,2.23388193269605e-07,0.000273616169340917,"down"
"ENSMUSG00000022817","Itgb5","integrin beta 5",16419,1.3430493914546,6.58778826375507,45.4548135816206,2.4406658966746e-07,0.000277590879091069,"up"
"ENSMUSG00000033769","Exoc6b","exocyst complex component 6B",75914,1.37497009115386,3.72643037808658,45.0220141693793,2.65670692562972e-07,0.00027779516945879,"up"
"ENSMUSG00000024197","Plin3","perilipin 3",66905,1.31111675304562,5.57923355323497,44.7708887697861,2.79138523603633e-07,0.00027779516945879,"up"
"ENSMUSG00000052562","Slc22a30","solute carrier family 22, member 30",319800,-5.13285297679918,6.64638013842263,43.7747607092104,3.40224262568205e-07,0.000299767979702858,"down"
"ENSMUSG00000024827","Gldc","glycine decarboxylase",104174,2.10571613301768,8.54911402189905,43.6955604843919,3.45661656991176e-07,0.000299767979702858,"up"
"ENSMUSG00000026004","Kansl1l","KAT8 regulatory NSL complex subunit 1-like",68691,-1.9564009616635,3.82773052704584,43.4450777470801,3.63480084608827e-07,0.000299767979702858,"down"
"ENSMUSG00000040435","Ppp1r15a","protein phosphatase 1, regulatory subunit 15A",17872,-2.54182702120379,5.08718291103388,43.0505432518732,3.93572074765663e-07,0.000299767979702858,"down"
"ENSMUSG00000040459","Arglu1","arginine and glutamate rich 1",234023,-1.45782567171152,5.38641461806466,43.028277561006,3.95348086023992e-07,0.000299767979702858,"down"
"ENSMUSG00000022790","Igsf11","immunoglobulin superfamily, member 11",207683,1.75892087628602,4.66856509480295,41.9623404315045,4.91287554864168e-07,0.000351776891649541,"up"
"ENSMUSG00000030056","Isy1","ISY1 splicing factor homolog",57905,-1.18943585311877,3.78446621972567,41.7984973540344,5.0812463153548e-07,0.000351776891649541,"down"
"ENSMUSG00000066306","Numa1","nuclear mitotic apparatus protein 1",101706,1.08231244483399,6.52873026514552,41.5677618175342,5.32892642709475e-07,0.000353552064577624,"up"
"ENSMUSG00000034135","Sik3","SIK family kinase 3",70661,1.08432381843397,5.84044855192271,40.8614351401851,6.1709948975818e-07,0.000368940348659874,"up"
"ENSMUSG00000048100","Taf13","TATA-box binding protein associated factor 13",99730,-1.68995263775524,3.89649636454848,40.701429151828,6.38090749055927e-07,0.000368940348659874,"down"
"ENSMUSG00000032437","Stt3b","STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)",68292,1.04128512414423,6.91131369676367,40.627811695642,6.48004545116078e-07,0.000368940348659874,"up"
"ENSMUSG00000030986","Dhx32","DEAH (Asp-Glu-Ala-His) box polypeptide 32",101437,1.77478703458761,5.35481648194988,40.5377387972019,6.60359435810874e-07,0.000368940348659874,"up"
"ENSMUSG00000037239","Spred3","sprouty-related EVH1 domain containing 3",101809,-3.78659101977694,1.72756206226802,40.4549496621608,6.71938083975153e-07,0.000368940348659874,"down"
"ENSMUSG00000097589","Dleu2","deleted in lymphocytic leukemia, 2",668253,-2.99947219754213,4.26637540641974,39.4659937271547,8.28399662392674e-07,0.000439686927475951,"down"
