"","SYMBOL","GENENAME","ENTREZID","logFC","logCPM","F","PValue","FDR","direction","threshold"
"ENSMUSG00000006457","Actn3","actinin alpha 3",11474,5.08576021149694,-0.945429139488766,25.1597809800779,2.59859493049076e-05,0.271937268505168,"up","FALSE"
"ENSMUSG00000020000","Moxd1","monooxygenase, DBH-like 1",59012,-6.04261916561745,1.30648509902154,22.1853925019121,7.0793268094361e-05,0.271937268505168,"down","FALSE"
"ENSMUSG00000030048","Gkn3","gastrokine 3",68888,-7.08710706004742,1.70150985303186,20.8235500274632,8.99223747456322e-05,0.271937268505168,"down","FALSE"
"ENSMUSG00000079440","Alpi","alkaline phosphatase, intestinal",76768,-7.31206475018982,0.0937035165943825,20.5999237209552,9.61733948515862e-05,0.271937268505168,"down","FALSE"
"ENSMUSG00000057465","Saa2","serum amyloid A 2",20209,-3.65423525640707,7.13432697296088,20.549586855714,9.76438452353734e-05,0.271937268505168,"down","FALSE"
"ENSMUSG00000076576","Igkv6-32","immunoglobulin kappa variable 6-32",434039,-3.47482119866821,1.20326143830084,19.544909587978,0.00013266290967966,0.271937268505168,"down","FALSE"
"ENSMUSG00000061742","Slc22a12","solute carrier family 22 (organic anion/cation transporter), member 12",20521,3.18172752784314,-1.27034682166867,19.4403635186191,0.000137017497877215,0.271937268505168,"up","FALSE"
"ENSMUSG00000057003","Myh4","myosin, heavy polypeptide 4, skeletal muscle",17884,5.76260103175717,0.931155218674136,20.3357902283977,0.000141673326157715,0.271937268505168,"up","FALSE"
"ENSMUSG00000030672","Mylpf","myosin light chain, phosphorylatable, fast skeletal muscle",17907,2.13737256654869,2.091140211932,19.0703913822025,0.000153704416036332,0.271937268505168,"up","FALSE"
"ENSMUSG00000020475","Pgam2","phosphoglycerate mutase 2",56012,4.11466083688763,-0.13424219926007,18.0915751147194,0.00020933116650811,0.278025013140427,"up","FALSE"
"ENSMUSG00000076569","Igkv5-39","immunoglobulin kappa variable 5-39",620017,-2.66096498209685,1.48492048522892,18.0163483021191,0.000214423912091549,0.278025013140427,"down","FALSE"
"ENSMUSG00000095335","Igkv3-5","immunoglobulin kappa chain variable 3-5",667940,4.81865538925002,-0.468313650405209,17.9233866710647,0.000220902006466818,0.278025013140427,"up","FALSE"
"ENSMUSG00000021490","Slc34a1","solute carrier family 34 (sodium phosphate), member 1",20505,6.16680744891835,1.05908495124951,17.591894062093,0.000245770990510102,0.278025013140427,"up","FALSE"
"ENSMUSG00000076570","Igkv12-38","immunoglobulin kappa chain variable 12-38",620050,-4.89691719699657,-1.18124032632402,17.7472173252955,0.000263917045988467,0.278025013140427,"down","FALSE"
"ENSMUSG00000074115","Saa1","serum amyloid A 1",20208,-3.08713598197358,7.85889081086501,17.1484176827464,0.000283857021697439,0.278025013140427,"down","FALSE"
"ENSMUSG00000025467","Prap1","proline-rich acidic protein 1",22264,-6.48035274518235,-0.276267284644001,17.2478757129972,0.000308813333292567,0.278025013140427,"down","FALSE"
"ENSMUSG00000024028","Tff2","trefoil factor 2 (spasmolytic protein 1)",21785,-5.52265903790818,3.14072155209742,16.8851490424505,0.00030943347709644,0.278025013140427,"down","FALSE"
"ENSMUSG00000031766","Slc12a3","solute carrier family 12, member 3",20497,4.04535468392868,0.7177740025575,16.8378024325711,0.000314290663601563,0.278025013140427,"up","FALSE"
"ENSMUSG00000076665","Ighv7-1","immunoglobulin heavy variable 7-1",780799,-5.18101351469895,-1.47863330406878,16.3311768510349,0.000371717872766916,0.311519141477242,"down","FALSE"
"ENSMUSG00000031097","Tnni2","troponin I, skeletal, fast 2",21953,3.77063166590657,1.92467339070432,16.0907520932651,0.00040283487131413,0.316980944799994,"up","FALSE"
"ENSMUSG00000006777","Krt23","keratin 23",94179,1.13943522071686,4.06077273477808,15.9527512913997,0.000421952580029673,0.316980944799994,"up","FALSE"
"ENSMUSG00000063796","Slc22a8","solute carrier family 22 (organic anion transporter), member 8",19879,6.07301460665327,-0.805885265248805,16.0828178324,0.000449092071375887,0.316980944799994,"up","FALSE"
"ENSMUSG00000005716","Pvalb","parvalbumin",19293,5.32706959709308,0.545230529560724,16.3282134931824,0.000468090793607388,0.316980944799994,"up","FALSE"
"ENSMUSG00000028255","Clca1","chloride channel accessory 1",23844,-4.25959398545204,-1.80483836146806,15.5853675587035,0.000477770688639067,0.316980944799994,"down","FALSE"
"ENSMUSG00000059412","Fxyd2","FXYD domain-containing ion transport regulator 2",11936,4.672681894037,0.190070554011542,15.3375050859486,0.000519891119697319,0.331129051957617,"up","FALSE"
"ENSMUSG00000068697","Myoz1","myozenin 1",59011,3.54389275214499,-0.750520520517619,15.1187564073854,0.000560393525299676,0.343197927051797,"up","FALSE"
"ENSMUSG00000048191","Muc6","mucin 6, gastric",353328,-6.49630995987373,2.15708876789895,15.2852515243664,0.000652743235904961,0.380409153653997,"down","FALSE"
"ENSMUSG00000037390","Muc3","mucin 3, intestinal",666339,-5.40817843936102,-1.41574072062601,14.8815142890512,0.000668935269880795,0.380409153653997,"down","FALSE"
"ENSMUSG00000025557","Slc15a1","solute carrier family 15 (oligopeptide transporter), member 1",56643,-3.39816304798643,-1.40155277184334,14.3244082364162,0.000738591345177236,0.383999628708865,"down","FALSE"
"ENSMUSG00000070385","Ampd1","adenosine monophosphate deaminase 1",229665,2.69685461401985,0.534203923673197,14.2170461690676,0.000767022483381038,0.383999628708865,"up","FALSE"
"ENSMUSG00000030785","Cox6a2","cytochrome c oxidase subunit 6A2",12862,3.00804206814484,0.0600296918775955,14.2016236386107,0.000771202512560657,0.383999628708865,"up","FALSE"
"ENSMUSG00000032942","Ucp3","uncoupling protein 3 (mitochondrial, proton carrier)",22229,3.13057844532662,-1.79184617723969,14.1997458625527,0.000771713126840651,0.383999628708865,"up","FALSE"
"ENSMUSG00000021090","Lrrc9","leucine rich repeat containing 9",78257,3.46531755816142,0.813882896195846,14.037206740933,0.000817322298158563,0.394370392532691,"up","FALSE"
"ENSMUSG00000026829","Gbgt1","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1",227671,-1.33155114253065,-0.215850633955056,13.6866419490107,0.000925887861377398,0.430342952666304,"down","FALSE"
"ENSMUSG00000005980","Dnase1","deoxyribonuclease I",13419,2.0402725850903,-0.274579987242155,13.6267943532382,0.000945927484979001,0.430342952666304,"up","FALSE"
"ENSMUSG00000028587","Orc1","origin recognition complex, subunit 1",18392,1.91038930140408,-0.159777003960003,13.453986413163,0.00100646065621887,0.445163139693695,"up","FALSE"
"ENSMUSG00000025488","Cox8b","cytochrome c oxidase subunit 8B",12869,3.46944758463817,-0.33456227450026,13.5362222715444,0.0010620264031637,0.457044497772315,"up","FALSE"
"ENSMUSG00000052512","Nav2","neuron navigator 2",78286,-0.63222075969647,5.47984627335041,13.0043088665111,0.00118443882082711,0.496311035369213,"down","FALSE"
"ENSMUSG00000048280","Zfp738","zinc finger protein 738",408068,-0.520768118952129,2.71730969803823,12.9272364722126,0.00121821433306975,0.497375046806914,"down","FALSE"
"ENSMUSG00000079018","Ly6c1","lymphocyte antigen 6 complex, locus C1",17067,1.05221010649182,0.816657714313655,12.8070140700654,0.00127299038529744,0.500085183982449,"up","FALSE"
"ENSMUSG00000027470","Mylk2","myosin, light polypeptide kinase 2, skeletal muscle",228785,4.14655231814125,-1.87073426861876,12.9905683207426,0.00128766517259815,0.500085183982449,"up","FALSE"
"ENSMUSG00000031594","Fgl1","fibrinogen-like protein 1",234199,-1.01979695920027,8.50629077303057,12.5506902526899,0.00139885343592286,0.51627845154632,"down","FALSE"
"ENSMUSG00000017300","Tnnc2","troponin C2, fast",21925,3.87911409216974,1.72442186671709,12.5133211369313,0.0014182972224499,0.51627845154632,"up","FALSE"
"ENSMUSG00000049128","Ivl","involucrin",16447,2.9718152512413,0.219206029920984,12.4196115203824,0.00146834995064815,0.51627845154632,"up","FALSE"
"ENSMUSG00000046718","Bst2","bone marrow stromal cell antigen 2",69550,0.495693768062585,7.97633556449702,12.396216524461,0.00148114088816474,0.51627845154632,"up","FALSE"
"ENSMUSG00000030399","Ckm","creatine kinase, muscle",12715,4.12022663794583,1.77920718196912,12.355887742898,0.00150347325983249,0.51627845154632,"up","FALSE"
"ENSMUSG00000095642","Ighv14-3","immunoglobulin heavy variable V14-3",238418,-3.73101915976435,-0.657466132862845,12.2887847715908,0.00154144123160184,0.51627845154632,"down","FALSE"
"ENSMUSG00000015519","2310057J18Rik","RIKEN cDNA 2310057J18 gene",67719,-4.78177363919647,-0.979197076213943,12.7002403154795,0.00155632516951726,0.51627845154632,"down","FALSE"
"ENSMUSG00000021947","Cryl1","crystallin, lambda 1",68631,0.470233443612955,5.98556962692637,12.1416767085113,0.00162834704618032,0.529146326863863,"up","FALSE"
"ENSMUSG00000007877","Tcap","titin-cap",21393,3.55762156877957,0.521952650896299,11.7805920768394,0.00186490573089792,0.593097796391873,"up","FALSE"
"ENSMUSG00000020581","Agr2","anterior gradient 2",23795,-5.4017297078717,-0.259421170501017,12.1247050920251,0.00190661630271652,0.593097796391873,"down","FALSE"
"ENSMUSG00000007659","Bcl2l1","BCL2-like 1",12048,0.465507200453076,6.02611515169803,11.6804687626935,0.00193688911714987,0.593097796391873,"up","FALSE"
"ENSMUSG00000022755","Adgrg7","adhesion G protein-coupled receptor G7",239853,-3.56004470431304,-2.31339547030136,11.6618796011272,0.00208627717679181,0.606455098606156,"down","FALSE"
"ENSMUSG00000051747","Ttn","titin",22138,2.41911107431553,1.49188389302425,11.4716795875606,0.00209683592520809,0.606455098606156,"up","FALSE"
"ENSMUSG00000047517","Dmbt1","deleted in malignant brain tumors 1",12945,-2.85753837042084,2.9095692354364,11.4623765419666,0.00210428697577345,0.606455098606156,"down","FALSE"
"ENSMUSG00000013936","Myl2","myosin, light polypeptide 2, regulatory, cardiac, slow",17906,3.88996206101609,-0.518051774522305,11.6023664732017,0.00213285722049518,0.606455098606156,"up","FALSE"
